file_name;char_used;perc_printable
xortool_out/00.out;48;81.0
xortool_out/01.out;49;82.0
xortool_out/02.out;50;78.0
xortool_out/03.out;51;76.0
xortool_out/04.out;52;79.0
xortool_out/05.out;53;77.0
xortool_out/06.out;54;82.0
xortool_out/07.out;55;81.0
xortool_out/08.out;56;76.0
xortool_out/09.out;57;76.0
xortool_out/10.out;97;79.0
xortool_out/11.out;98;96.0
xortool_out/12.out;99;95.0
xortool_out/13.out;100;95.0
xortool_out/14.out;101;95.0
xortool_out/15.out;102;86.0
xortool_out/16.out;103;90.0
xortool_out/17.out;104;79.0
xortool_out/18.out;105;77.0
xortool_out/19.out;106;79.0
xortool_out/20.out;107;79.0
xortool_out/21.out;108;79.0
xortool_out/22.out;109;79.0
xortool_out/23.out;110;79.0
xortool_out/24.out;111;76.0
xortool_out/25.out;112;81.0
xortool_out/26.out;113;79.0
xortool_out/27.out;114;80.0
xortool_out/28.out;115;79.0
xortool_out/29.out;116;80.0
xortool_out/30.out;117;81.0
xortool_out/31.out;118;82.0
xortool_out/32.out;119;80.0
xortool_out/33.out;120;67.0
xortool_out/34.out;121;78.0
xortool_out/35.out;122;79.0
xortool_out/36.out;65;100.0
xortool_out/37.out;66;96.0
xortool_out/38.out;67;99.0
xortool_out/39.out;68;98.0
xortool_out/40.out;69;100.0
xortool_out/41.out;70;100.0
xortool_out/42.out;71;99.0
xortool_out/43.out;72;99.0
xortool_out/44.out;73;99.0
xortool_out/45.out;74;100.0
xortool_out/46.out;75;99.0
xortool_out/47.out;76;100.0
xortool_out/48.out;77;99.0
xortool_out/49.out;78;100.0
xortool_out/50.out;79;100.0
xortool_out/51.out;80;100.0
xortool_out/52.out;81;99.0
xortool_out/53.out;82;100.0
xortool_out/54.out;83;99.0
xortool_out/55.out;84;99.0
xortool_out/56.out;85;98.0
xortool_out/57.out;86;99.0
xortool_out/58.out;87;99.0
xortool_out/59.out;88;99.0
xortool_out/60.out;89;99.0
xortool_out/61.out;90;100.0
xortool_out/62.out;33;79.0
xortool_out/63.out;34;78.0
xortool_out/64.out;35;80.0
xortool_out/65.out;36;78.0
xortool_out/66.out;37;78.0
xortool_out/67.out;38;78.0
xortool_out/68.out;39;79.0
xortool_out/69.out;40;79.0
xortool_out/70.out;41;79.0
xortool_out/71.out;42;81.0
xortool_out/72.out;43;81.0
xortool_out/73.out;44;79.0
xortool_out/74.out;45;80.0
xortool_out/75.out;46;78.0
xortool_out/76.out;47;79.0
xortool_out/77.out;58;76.0
xortool_out/78.out;59;77.0
xortool_out/79.out;60;76.0
xortool_out/80.out;61;77.0
xortool_out/81.out;62;77.0
xortool_out/82.out;63;76.0
xortool_out/83.out;64;99.0
xortool_out/84.out;91;99.0
xortool_out/85.out;92;99.0
xortool_out/86.out;93;99.0
xortool_out/87.out;94;99.0
xortool_out/88.out;95;98.0
xortool_out/89.out;96;79.0
xortool_out/90.out;123;79.0
xortool_out/91.out;124;78.0
xortool_out/92.out;125;78.0
xortool_out/93.out;126;77.0
xortool_out/94.out;32;79.0
xortool_out/95.out;9;70.0
xortool_out/96.out;10;84.0
xortool_out/97.out;13;84.0
xortool_out/98.out;11;84.0
xortool_out/99.out;12;84.0
